idDBLP,idScholar,DBLP_Match,Scholar_Match,Match_ID
conf/sigmod/Ellison95,kutSXofRZwAJ,1630,45113,1630_45113
conf/sigmod/Ellison95,1urLrX5xC3MJ,1630,49430,1630_49430
conf/sigmod/Ellison95,AgpGguTHfGsJ,1630,50807,1630_50807
conf/sigmod/Ellison95,I7hXbBRNPKoJ,1630,64059,1630_64059
conf/sigmod/Epstein95,ypIwIw0dXTEJ,1634,1586,1634_1586
conf/sigmod/Epstein95,bv48IKnfBb8J,1634,9557,1634_9557
conf/sigmod/Epstein95,FdkHUCk1ocUJ,1634,19571,1634_19571
conf/sigmod/Epstein95,ESge0RjQQ40J,1634,21215,1634_21215
conf/sigmod/Epstein95,m42J4EvvK_wJ,1634,28121,1634_28121
conf/sigmod/Epstein95,0oK-LZ_kOiAJ,1634,33615,1634_33615
conf/sigmod/Epstein95,99R10lJB_BAJ,1634,37335,1634_37335
conf/sigmod/Epstein95,kutSXofRZwAJ,1634,45113,1634_45113
conf/sigmod/Epstein95,1urLrX5xC3MJ,1634,49430,1634_49430
conf/sigmod/Epstein95,AgpGguTHfGsJ,1634,50807,1634_50807
conf/sigmod/Epstein95,I7hXbBRNPKoJ,1634,64059,1634_64059
conf/sigmod/ShklarSKT95,4IaWCBK6dMQJ,1670,1595,1670_1595
conf/sigmod/ShanmugasundaramNSR99,eQjFv7QxsQQJ,956,6965,956_6965
conf/vldb/GoodmanRS94,8CCHAKnGJ1EJ,180,1682,180_1682
conf/vldb/SahuguetA99,pK5bydjeZFIJ,1458,5368,1458_5368
journals/sigmod/OoiST03,gpjVvUtM6H8J,1944,1740,1944_1740
journals/sigmod/DomenigD99,S6TMGRGUq1IJ,467,15222,467_15222
conf/sigmod/KotidisR99,qzjtGDo7OuMJ,944,1756,944_1756
conf/sigmod/DattaDRTV01,qK-N8yVLSWUJ,613,1807,613_1807
journals/tods/Snodgrass01,8vtUokULDisJ,2331,10930,2331_10930
journals/tods/Snodgrass01,url:http://www.springerlink.com/index/M131V2216478525N.pdf,2331,21878,2331_21878
journals/tods/Snodgrass01,PKGXc-nVZ_8J,2331,37373,2331_37373
journals/tods/Snodgrass01,eW3sswNykJoJ,2331,48533,2331_48533
journals/tods/Snodgrass01,url:http://www.springerlink.com/index/J805K662617N0160.pdf,2331,58513,2331_58513
journals/tods/Snodgrass01a,8vtUokULDisJ,2343,10930,2343_10930
journals/tods/Snodgrass01a,url:http://www.springerlink.com/index/M131V2216478525N.pdf,2343,21878,2343_21878
journals/tods/Snodgrass01a,PKGXc-nVZ_8J,2343,37373,2343_37373
journals/tods/Snodgrass01a,eW3sswNykJoJ,2343,48533,2343_48533
journals/tods/Snodgrass01a,url:http://www.springerlink.com/index/J805K662617N0160.pdf,2343,58513,2343_58513
journals/vldb/ApersCS02,8vtUokULDisJ,2444,10930,2444_10930
journals/vldb/ApersCS02,url:http://www.springerlink.com/index/0JGDE6A9JHWT3CF5.pdf,2444,12983,2444_12983
journals/vldb/ApersCS02,url:http://www.springerlink.com/index/LD48KCXJWTCRACDL.pdf,2444,26404,2444_26404
journals/vldb/ApersCS02,PKGXc-nVZ_8J,2444,37373,2444_37373
journals/vldb/ApersCS02,eW3sswNykJoJ,2444,48533,2444_48533
journals/vldb/ApersCS02,url:http://www.springerlink.com/index/5G6L5CVD7NA9HCJJ.pdf,2444,50753,2444_50753
conf/vldb/ChanI99,QV20-69j6YYJ,1488,1841,1488_1841
conf/sigmod/BressanGFJHKLMPQSS97,jJuSPh63bZ0J,1391,12604,1391_12604
conf/vldb/DiaoLCT00,lzbvXZxLKJIJ,1363,1875,1363_1875
conf/vldb/DuttaDMRT00,q0Ovw6QUk3MJ,1167,1887,1167_1887
journals/tods/Kuo96,p--jtVlva8AJ,2274,10724,2274_10724
journals/sigmod/Zhang95,f86VsMJZ9gAJ,791,1970,791_1970
conf/sigmod/LeeKC99,c-5n9qQKLaEJ,1005,1991,1005_1991
journals/tods/MamoulisP01,Rg8V7NSK9tMJ,2341,2114,2341_2114
conf/sigmod/QuassWGHLMNRRAUW96,oB7qYK3HKiEJ,1491,6467,1491_6467
conf/sigmod/NguyenACP01,VCiXh8qcrIMJ,767,2154,767_2154
journals/vldb/BernsteinIR03,tZ8ckEl9UrUJ,2281,5789,2281_5789
journals/vldb/BernsteinIR03,UF-RyjST87cJ,2281,14538,2281_14538
journals/vldb/BernsteinIR03,url:http://www.springerlink.com/index/RTCC57FUUW3CADRF.pdf,2281,28087,2281_28087
journals/vldb/BernsteinIR03,url:http://www.springerlink.com/index/589TQRPPVBXQ6LJN.pdf,2281,33567,2281_33567
journals/vldb/BernsteinIR03,N4nyJ3C99iMJ,2281,55850,2281_55850
journals/vldb/BernsteinIR03,cDN9oOqsTE0J,2281,58478,2281_58478
journals/vldb/AtluriJY03,tZ8ckEl9UrUJ,2296,5789,2296_5789
journals/vldb/AtluriJY03,UF-RyjST87cJ,2296,14538,2296_14538
journals/vldb/AtluriJY03,url:http://www.springerlink.com/index/RTCC57FUUW3CADRF.pdf,2296,28087,2296_28087
journals/vldb/AtluriJY03,url:http://www.springerlink.com/index/589TQRPPVBXQ6LJN.pdf,2296,33567,2296_33567
journals/vldb/AtluriJY03,N4nyJ3C99iMJ,2296,55850,2296_55850
journals/vldb/AtluriJY03,cDN9oOqsTE0J,2296,58478,2296_58478
journals/vldb/Halevy02,tZ8ckEl9UrUJ,2467,5789,2467_5789
journals/vldb/Halevy02,UF-RyjST87cJ,2467,14538,2467_14538
journals/vldb/Halevy02,N4nyJ3C99iMJ,2467,55850,2467_55850
journals/vldb/Halevy02,url:http://www.springerlink.com/index/6UEYKJ4UQTK18H6D.pdf,2467,58130,2467_58130
journals/vldb/Halevy02,cDN9oOqsTE0J,2467,58478,2467_58478
journals/vldb/Atkinson00,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D765219%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,2484,2951,2484_2951
journals/vldb/Atkinson00,tZ8ckEl9UrUJ,2484,5789,2484_5789
journals/vldb/Atkinson00,url:http://www.springerlink.com/index/0YKCKU5LKG6G102T.pdf,2484,5986,2484_5986
journals/vldb/Atkinson00,url:http://www.ingentaconnect.com/search/expand%3Fpub%3Dinfobike://els/13891286/2000/00000034/00000006/art00152%26unc%3D,2484,7896,2484_7896
journals/vldb/Atkinson00,UF-RyjST87cJ,2484,14538,2484_14538
journals/vldb/Atkinson00,url:http://www.springerlink.com/index/M034H4H63472723J.pdf,2484,18261,2484_18261
journals/vldb/Atkinson00,N4nyJ3C99iMJ,2484,55850,2484_55850
journals/vldb/Atkinson00,21Ac9JMDmJAJ,2484,56447,2484_56447
journals/vldb/Atkinson00,url:http://www.springerlink.com/index/CFM1025XF89JLNH8.pdf,2484,57736,2484_57736
journals/vldb/Atkinson00,cDN9oOqsTE0J,2484,58478,2484_58478
journals/vldb/AbbadiSW01,tZ8ckEl9UrUJ,2493,5789,2493_5789
journals/vldb/AbbadiSW01,UF-RyjST87cJ,2493,14538,2493_14538
journals/vldb/AbbadiSW01,url:http://portal.acm.org/citation.cfm%3Fid%3D599610.599633,2493,14856,2493_14856
journals/vldb/AbbadiSW01,347oyb_b7DAJ,2493,34724,2493_34724
journals/vldb/AbbadiSW01,url:http://www.springerlink.com/index/CWANCL0VWN1MKL0M.pdf,2493,37909,2493_37909
journals/vldb/AbbadiSW01,N4nyJ3C99iMJ,2493,55850,2493_55850
journals/vldb/AbbadiSW01,cDN9oOqsTE0J,2493,58478,2493_58478
conf/vldb/BrownS95,yP4hDOd65VUJ,42,12984,42_12984
conf/vldb/EicklerGK95,63QhLG57QssJ,1921,2166,1921_2166
conf/vldb/JagadishLS99,5d1R2mD-7MkJ,1424,2182,1424_2182
journals/sigmod/DongS00,gH_HDDJghbAJ,271,2206,271_2206
journals/sigmod/Liu01,TUOBVMb4PBsJ,155,6328,155_6328
journals/sigmod/Liu01,vgcXH5aVpdgJ,155,16292,155_16292
journals/sigmod/Liu01,_SsvlmhsusEJ,155,22822,155_22822
journals/sigmod/Liu01,skOc65LTInYJ,155,29707,155_29707
journals/sigmod/Liu01,DiWYJABnOuMJ,155,29969,155_29969
journals/sigmod/Liu01,xgdBJbatYcIJ,155,31206,155_31206
journals/sigmod/Liu01,p0QHT_9_NSkJ,155,33894,155_33894
journals/sigmod/Liu01,zMW_rq3S6VgJ,155,38667,155_38667
journals/sigmod/Liu01,C84rFQN_ug0J,155,42149,155_42149
journals/sigmod/Liu01,zc1TRuoDDwgJ,155,43206,155_43206
journals/sigmod/Liu01, ,155,44759,155_44759
journals/sigmod/Liu01,jrDSC1jKTI4J,155,50549,155_50549
journals/sigmod/Liu01,dO8czlfdENQJ,155,50885,155_50885
journals/sigmod/Liu01,_cil6uzFNtsJ,155,53051,155_53051
journals/sigmod/Franklin97,TUOBVMb4PBsJ,568,6328,568_6328
journals/sigmod/Franklin97,vgcXH5aVpdgJ,568,16292,568_16292
journals/sigmod/Franklin97,_SsvlmhsusEJ,568,22822,568_22822
journals/sigmod/Franklin97,skOc65LTInYJ,568,29707,568_29707
journals/sigmod/Franklin97,DiWYJABnOuMJ,568,29969,568_29969
journals/sigmod/Franklin97,xgdBJbatYcIJ,568,31206,568_31206
journals/sigmod/Franklin97,p0QHT_9_NSkJ,568,33894,568_33894
journals/sigmod/Franklin97,zMW_rq3S6VgJ,568,38667,568_38667
journals/sigmod/Franklin97,C84rFQN_ug0J,568,42149,568_42149
journals/sigmod/Franklin97,zc1TRuoDDwgJ,568,43206,568_43206
journals/sigmod/Franklin97, ,568,44759,568_44759
journals/sigmod/Franklin97,jrDSC1jKTI4J,568,50549,568_50549
journals/sigmod/Franklin97,dO8czlfdENQJ,568,50885,568_50885
journals/sigmod/Franklin97,_cil6uzFNtsJ,568,53051,568_53051
conf/sigmod/OlstonW02,pBKI-JCAlcIJ,398,2288,398_2288
journals/tods/CiacciaP02,dArDZIV5VE4J,935,2296,935_2296
conf/sigmod/AcharyaGP00,WGWZ2cNZW2YJ,780,2313,780_2313
conf/sigmod/RoussopoulosKV95,efwTNo1wRnMJ,1585,35792,1585_35792
conf/sigmod/ZhaoDN97,YwLoGdTgG-sJ,1237,2401,1237_2401
conf/sigmod/ZhaoDN97,chYdQDE8cPsJ,1237,63367,1237_63367
journals/vldb/ChidlovskiiB00,ysC3V2Lu3M8J,2393,2402,2393_2402
conf/vldb/SchmidtWKCMB02,CvGGYMrKR2sJ,2145,2410,2145_2410
conf/sigmod/LiGS02,DZzqgw2TJ-MJ,524,2419,524_2419
conf/vldb/RamaswamyMS98,WTYQ40Rn_tUJ,1732,2444,1732_2444
conf/vldb/SeshadriLR97,kIzNmOrszKoJ,1874,2475,1874_2475
journals/sigmod/ArpinarD00,YQQMvRraFBwJ,307,2496,307_2496
conf/vldb/BouganimNPW03,5oXuo8dJ6qAJ,2054,2504,2054_2504
conf/vldb/PatonG01,mHCrMuxQnBsJ,1084,2510,1084_2510
conf/vldb/HoelS95,hwBMsP8-fXcJ,40,2552,40_2552
conf/vldb/Ganguly98,a8cB2S6Td-sJ,1642,2567,1642_2567
conf/sigmod/RundensteinerWYD02,7MfXAAdBQ2EJ,577,2592,577_2592
conf/vldb/FangSGMU98,MdwCZg0RBHYJ,1648,60387,1648_60387
conf/vldb/WiesnerK01,UrDwK2S7QVwJ,1271,2606,1271_2606
conf/vldb/BeneventanoBCCGMMV00,Q6jRYrIlTM4J,1323,2607,1323_2607
journals/sigmod/Roussopoulos98,GfjHZswtM0EJ,615,55314,615_55314
journals/sigmod/KempsterST99,JfmkT9KvKWoJ,262,2647,262_2647
conf/vldb/JensenL01,yUDkYbmDTXIJ,1264,2672,1264_2672
conf/sigmod/Tajima96,IZSzLlgi8tUJ,1518,2697,1518_2697
conf/sigmod/SunAA03,wR6CGftUyH0J,308,2795,308_2795
journals/sigmod/CalvaneseGLV03,pGcIRyDyFG8J,1861,2865,1861_2865
conf/sigmod/NgLHM99,YemauUgIzlcJ,968,2881,968_2881
journals/sigmod/Bernstein98,AYEI8XDoY9wJ,632,2882,632_2882
journals/sigmod/WestmannKHM00,9jyzas_rFd4J,298,51865,298_51865
journals/sigmod/Lomet98,xLM0YVcccUgJ,588,6108,588_6108
conf/sigmod/AcharyaGPR99a,IkNOhDqEY18J,997,2958,997_2958
journals/sigmod/Snodgrass94,SYVDufoTe_IJ,917,3019,917_3019
journals/sigmod/SnodgrassAABCDEGJKKKLLRSSS94,64iWa-ZiPRcJ,922,3133,922_3133
conf/vldb/SenkulKT02,g7HDbO4GCN4J,2128,3138,2128_3138
conf/vldb/TreschPL95,1rPUqMFsS3AJ,16,3179,16_3179
conf/sigmod/BaruGLMPVC99,3SHIgRrrL5QJ,1124,3213,1124_3213
conf/sigmod/BaruGLMPVC99,mXKKjAJUm-oJ,1124,24381,1124_24381
journals/vldb/PottingerH01,Kv3ZFRUKCogJ,2499,3217,2499_3217
conf/vldb/CatozziR01,x_mqIy3GCmAJ,1229,60781,1229_60781
journals/tods/BrightHP94,BHvvo_nJxucJ,2305,3269,2305_3269
journals/tods/BrightHP94,m9DBN5PHWDAJ,2305,25671,2305_25671
conf/vldb/DayalHL01,0XYRlW9tvw8J,2183,59947,2183_59947
journals/sigmod/GrayG97,fFCqy9V5XNgJ,531,3293,531_3293
journals/sigmod/GrayG97,vNqMD9z2FicJ,531,28369,531_28369
conf/vldb/ArgePRSV98,H-AQePr2evUJ,1748,3320,1748_3320
conf/vldb/ArgePRSV98,A5Eiwdh71m0J,1748,22072,1748_22072
journals/sigmod/Qian96b,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245909%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,766,3401,766_3401
conf/vldb/Garcia-MolinaLY98,lWVWAhlsyYYJ,1662,3407,1662_3407
conf/vldb/BouguettayaEMO01,n-tA57d7ydcJ,1278,3450,1278_3450
conf/sigmod/SismanisDRK02,yGIQGlCDaJgJ,492,3468,492_3468
conf/sigmod/SismanisDRK02,Y21HA44xuQ4J,492,7995,492_7995
conf/sigmod/SismanisDRK02,bCj32WyDQ0IJ,492,62037,492_62037
conf/sigmod/BohlenBD99,X2odIfnOC88J,1056,3524,1056_3524
journals/vldb/VaghaniRKSSLH94,B3E3_clrrrYJ,2555,3548,2555_3548
journals/vldb/LometS97,QIv1JU2suAEJ,2412,3586,2412_3586
journals/vldb/LometS97,qjLiaKLJ6eQJ,2412,53666,2412_53666
conf/vldb/BaralisW94,nqaF5CzBelgJ,94,3621,94_3621
conf/vldb/BaralisW94,q-td2YANr18J,94,7258,94_7258
conf/vldb/HuangJR97,nBHS2BTx-GkJ,1905,3927,1905_3927
journals/sigmod/BernsteinHP00,FFzJxlpy6TsJ,358,3673,358_3673
journals/tods/WijesekeraJPH03,oui-frSWZCAJ,948,3687,948_3687
journals/sigmod/RamamrithamSSTX96,kezAM71rts0J,677,3707,677_3707
conf/sigmod/GillmannWW02,idT5wOZXM-wJ,532,3756,532_3756
conf/sigmod/Ojjeh99,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D304245%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,1028,3788,1028_3788
journals/sigmod/SegevJS95,2kiNfwTpqp4J,841,3813,841_3813
conf/sigmod/HjaltasonS98,3mwWUz_ORNYJ,1157,15917,1157_15917
conf/sigmod/MeccaAMMS98,J-7xdqqW5RwJ,1265,8052,1265_8052
conf/vldb/Sarawagi00,z5DmAoBjsjAJ,1365,3912,1365_3912
conf/vldb/BernsteinPS99,JcHiZlbsts0J,1514,3986,1514_3986
conf/vldb/NatsevCSLV01,2CYtbbiwv-AJ,1055,4054,1055_4054
conf/vldb/NatsevCSLV01,e6dXyX0MKEIJ,1055,9184,1055_9184
conf/vldb/VieiraM03,sUtdmV9XsIcJ,2011,4092,2011_4092
conf/vldb/HulgeriS03,l5_H15LkpCsJ,2005,4095,2005_4095
conf/sigmod/KrollW94,zd_8s13rNRoJ,1717,4109,1717_4109
journals/sigmod/LudascherMM01,16yr6uv8Rn8J,144,4131,144_4131
conf/vldb/OzsuLON01,qqdXmdgAaMgJ,1126,4142,1126_4142
journals/sigmod/TanK03,qIzj09N-Qr8J,1857,4234,1857_4234
conf/vldb/CarneyCZRCS03,JubkWSUFbbcJ,2029,4249,2029_4249
journals/sigmod/BabuW01,VLOGPMjpyZ0J,178,4285,178_4285
journals/sigmod/BabuW01,EWzSBh-jV3IJ,178,23228,178_23228
journals/sigmod/BabuW01,KJ26gUP0PyIJ,178,29774,178_29774
conf/vldb/BertinoBFS96,s0v9B-K8owEJ,2601,4290,2601_4290
journals/tods/CuiWW00,yWDXpb_76z0J,2313,4292,2313_4292
conf/vldb/ArunJ98,1dqeMksCm74J,1767,4308,1767_4308
journals/sigmod/DogacAOD95,oUOuTMrB0esJ,774,4430,774_4430
journals/tods/Revesz98,dr8s9hbwjR0J,2360,4480,2360_4480
journals/tods/WandSW99,pYtOkFSgdXYJ,2372,4511,2372_4511
conf/vldb/SistlaYH94,FT4Sfn-Z7GUJ,242,4516,242_4516
conf/sigmod/KemperMPS94,ChCPyLiBpr4J,1787,4527,1787_4527
conf/sigmod/GrossmanQ94,yjqdBeNw5WoJ,1844,4572,1844_4572
conf/vldb/RaghavanG01,LcX8Pm2ABJsJ,2177,57213,2177_57213
conf/vldb/LernerS03,KtkbM7ohXrEJ,2102,4637,2102_4637
journals/sigmod/BoulosO99,yzbCsw2erkcJ,489,12460,489_12460
conf/vldb/PereiraFJLS01,Cd6A4nsDnkQJ,1242,53783,1242_53783
conf/sigmod/DeutschFS99,QxtGOVsCF78J,1068,33671,1068_33671
conf/vldb/AnKR03,Z9dkL1yphh8J,2021,4783,2021_4783
conf/vldb/CareyKSSS00,fRo4fx_Q6gIJ,1308,4795,1308_4795
conf/vldb/GinisHKMT97,GBVvAWWCTcgJ,1718,4869,1718_4869
journals/sigmod/JenningsNF98,YiZVv5kVDb4J,406,49414,406_49414
journals/sigmod/Hammer02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D584455%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,5,4975,5_4975
conf/vldb/Chawathe99,1-mxxSvIMB8J,1523,5017,1523_5017
conf/sigmod/FranklinZ98,5Cj9Wx8llkwJ,1107,5026,1107_5026
conf/vldb/SrikantA95,Ve-JH2yNN0kJ,20,5058,20_5058
conf/sigmod/Rajaraman99,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D304246%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,1029,5074,1029_5074
conf/vldb/RamamurthyDS02,DAlyofX710AJ,2191,12580,2191_12580
journals/vldb/RamamurthyDS03,uem5wXLoU0wJ,2286,5077,2286_5077
journals/vldb/RamamurthyDS03,DAlyofX710AJ,2286,12580,2286_12580
conf/sigmod/LabioZWGGW97,uzpyy9XRpgYJ,1374,11627,1374_11627
conf/sigmod/Arpaci-DusseauACHP97,aCCAyNhJFtsJ,1291,5116,1291_5116
conf/sigmod/Arpaci-DusseauACHP97,6_FvrRYnxHYJ,1291,19397,1291_19397
journals/tods/BellNNS96,pz2VRTdXq1cJ,2266,5131,2266_5131
conf/sigmod/ChoALS03,MAdjH9lCsysJ,425,5180,425_5180
conf/vldb/ChristodoulakisTZ97,lojHMj5xWEwJ,1864,5238,1864_5238
journals/sigmod/RosenthalSMBTL95, ,875,5252,875_5252
conf/vldb/RiedelGF98,f2N_DxLirWIJ,1563,5306,1563_5306
conf/vldb/MartinC94,Ur6-XAMj3tIJ,201,5321,201_5321
journals/tods/DekhtyarRS01,jZShiF9wrikJ,2321,5327,2321_5327
conf/vldb/DiaoF03,Crt1JZ1eEj0J,2080,5372,2080_5372
conf/sigmod/Moore95,uh57sQuxYuIJ,1628,5467,1628_5467
conf/sigmod/GuptaLM03,iCg06Oc9DV8J,276,5480,276_5480
conf/vldb/Cabrera03,url:http://wwwdb.informatik.uni-rostock.de/vldb2003/papers/S31P01.pdf,2048,5521,2048_5521
conf/sigmod/StoltePAG03,9WTNlminW6AJ,359,5547,359_5547
journals/sigmod/KoksalAD98,enYoi4XT7n0J,633,57867,633_57867
journals/vldb/FerrariAABC02,74D4YiDcxfcJ,2449,5600,2449_5600
conf/sigmod/PapadiasTFS03,MkRJhOROQjsJ,317,5601,317_5601
conf/sigmod/Kleissner95,DB8lVC2D9fcJ,1569,5682,1569_5682
journals/sigmod/GruenwaldBDGSSV99,ihljCMaS2UsJ,465,5720,465_5720
journals/sigmod/GruenwaldBDGSSV99,url:http://portal.acm.org/citation.cfm%3Fid%3D333607.333616%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,465,23595,465_23595
